demand,price
18,267.22
17,4209.44
30,371.4
39,4467.75
13,692.71
32,1106.51
29,2624.09
46,3964.65
30,1095.4499999999998
18,2682.34
13,2517.6
43,1137.44
21,641.09
30,4270.65
21,2869.6
48,487.65
17,4420.150000000001
40,5034.35
19,3209.22
15,2790.1000000000004
9,4439.12
10,5074.42
44,4276.99
31,2441.79
23,3360.4
30,3774.65
33,1084.28
9,2558.9500000000003
47,4314.5599999999995
1,3317.75
44,2406.58
35,3764.52
11,814.1400000000001
34,2238.65
16,4422.59
9,1550.19
32,1330.84
15,4888.46
12,1545.0
33,1427.21
45,5166.72
14,3710.92
8,3838.42
8,4417.79
27,853.6600000000001
12,3723.66
1,2637.9100000000003
43,4469.07
40,3007.4700000000003
42,3600.14
11,2519.07
39,2778.3999999999996
43,4186.98
31,3339.66
17,3204.01
33,2626.9
32,3152.2799999999997
29,4061.04
21,4361.7
21,3765.31
40,4731.98
23,4488.370000000001
6,3206.98
22,3454.76
38,5075.44
37,3256.78
45,4624.1
8,3657.23
41,2879.24
49,1429.4399999999998
35,2384.38
11,4884.29
24,3599.27
49,3146.6000000000004
21,5040.22
2,2977.52
40,2929.32
19,3844.51
39,3931.25
28,1043.45
17,2839.73
6,2742.97
19,2180.83
38,2836.94
28,2168.9100000000003
2,1189.35
38,2527.0
37,860.95
4,2910.5099999999998
22,4576.72
26,4002.63
49,2147.14
43,531.02
36,1167.3300000000002
13,2882.85
32,1492.48
17,2979.64
41,1444.97
36,4720.27
46,2338.66
19,1715.83
35,4304.7
46,1830.27
40,1067.53
28,3108.3
1,3027.74
42,3745.91
18,1273.98
48,2486.14
40,1875.75
33,918.1700000000001
12,4856.219999999999
8,3729.27
24,1739.45
16,3040.73
4,1475.29
38,4642.46
44,938.04
27,429.29
9,2755.56
47,3096.64
16,3397.36
12,802.4300000000001
31,1756.34
24,2766.05
14,1608.76
45,4381.89
25,693.4
34,2521.77
3,3732.0
24,1367.76
42,3349.37
9,4273.6
26,1263.49
20,5088.28
40,3192.37
10,1955.56
19,2504.0299999999997
3,1625.7099999999998
24,3750.63
5,4454.97
3,4362.44
27,4990.33
16,4321.04
49,3183.58
15,1870.88
35,3244.76
12,683.78
41,3946.77
44,2747.81
26,477.67
47,733.0
34,1993.4
23,3007.53
31,2668.02
20,3565.58
12,2743.09
23,3401.1
4,1201.39
23,1032.22
48,3080.61
48,2714.12
1,211.18
25,1982.92
2,914.77
30,3027.9199999999996
3,2186.42
21,3200.75
25,4446.45
20,1649.7399999999998
49,5088.0
22,3185.81
21,3192.99
33,3890.3599999999997
38,3449.94
15,2867.36
46,2367.11
15,799.04
46,303.36
25,2027.74
21,2193.22
24,2241.96
5,991.21
6,3840.24
49,4645.64
43,4713.68
48,2521.4500000000003
44,3822.98
47,4462.4
23,2597.67
4,2034.1499999999999
27,5046.51
18,3013.49
21,2848.3999999999996
28,1004.6999999999999
35,970.49
22,4331.42
40,3258.45
23,2074.25
3,1271.99
40,3231.08
10,3054.79
25,1382.4299999999998
49,4315.52
8,792.21
11,2196.3
5,3714.52
45,1547.3500000000001
37,4172.349999999999
45,3780.88
38,4270.59
29,1107.45
5,856.9100000000001
9,1838.21
48,3049.04
2,4017.91
1,4528.7699999999995
40,3945.82
30,4784.28
11,3862.26
28,1576.34
44,1844.0700000000002
12,3955.75
39,1389.35
26,557.69
13,2913.78
8,4177.06
28,569.63
30,4281.79
9,4548.09
39,2889.67
31,685.1
21,971.57
47,3696.1000000000004
34,3740.13
31,4880.799999999999
25,3337.4
12,863.03
1,865.76
22,3651.42
40,1111.41
37,1906.6399999999999
47,2529.02
1,404.69
1,1709.71
42,2363.9
42,1482.88
21,828.9499999999999
15,3896.19
17,4262.21
22,1510.3
38,4152.72
35,2254.84
45,2958.55
16,4464.28
8,4166.95
47,4211.25
17,764.54
17,676.6600000000001
26,4770.42
13,2437.7
17,1840.77
38,4096.96
17,4645.35
48,4625.5599999999995
14,1882.79
45,4551.599999999999
6,742.0
35,684.6700000000001
46,3198.4900000000002
14,753.81
47,1750.3799999999999
8,3609.3399999999997
15,1832.6
27,1286.92
13,1882.5700000000002
49,2467.28
31,2453.35
